#
#      IPs: 485
#  Updated: 1/5/2021  14:12 (2:12 PM CST)
#  Creator: ShadowWhisperer  (Sean H.)
#
#     curl: curl -s https://raw.githubusercontent.com/ShadowWhisperer/Bad.IPs/main/Lists/list.csv
#

COUNT,IP,INTERACTED
11268,5.188.86.172,0
6740,5.188.86.174,0
6114,45.227.255.163,0
4558,45.227.255.205,0
1808,5.182.39.63,0
1635,5.182.39.61,0
1385,51.83.132.71,1
1339,5.182.39.64,0
1063,5.182.39.62,0
613,5.182.39.185,0
424,5.182.39.88,0
336,5.188.62.8,0
300,194.27.229.13,0
299,45.227.255.204,0
259,141.98.80.98,0
240,141.98.81.154,0
171,64.225.30.161,1
122,27.116.63.94,1
122,184.82.97.45,1
122,177.66.222.246,1
122,159.192.143.51,1
122,124.29.208.215,1
121,41.164.175.154,1
114,110.77.210.34,1
113,105.155.22.14,1
106,2.57.122.163,1
102,27.79.248.31,1
83,207.154.192.109,1
83,138.68.94.131,1
81,81.213.142.69,1
78,139.59.152.43,1
67,222.187.238.39,0
67,196.190.96.73,1
67,157.230.97.148,1
63,222.187.238.87,0
62,23.94.186.31,1
61,222.187.232.73,0
60,81.161.63.103,0
60,222.187.224.30,0
59,222.187.238.57,0
57,64.225.51.64,1
57,165.227.145.226,1
57,165.22.30.155,1
56,109.104.151.10,1
55,222.187.222.105,0
53,222.187.222.53,0
53,157.230.119.244,1
51,222.187.222.55,0
44,222.187.238.93,0
40,81.161.63.253,0
39,222.187.227.177,0
38,222.187.227.224,0
34,192.227.134.70,1
33,81.161.63.252,0
33,81.161.63.100,0
32,174.138.14.14,1
30,81.161.63.101,0
27,81.161.63.251,0
26,51.178.215.251,1
26,139.162.247.102,0
16,68.183.235.199,1
16,104.236.27.64,1
15,138.68.1.100,1
12,164.68.112.178,0
11,2.57.122.212,0
8,27.211.198.62,0
8,184.67.105.182,1
8,165.22.92.5,1
8,157.230.26.210,0
8,139.162.122.110,0
7,2.57.122.241,0
7,24.231.21.28,0
7,128.14.209.146,0
6,205.185.115.183,0
6,174.138.0.61,1
5,164.52.24.167,0
5,139.162.75.112,0
5,107.6.162.218,0
4,87.181.191.66,1
4,86.220.95.121,1
4,84.84.202.190,1
4,84.214.54.223,1
4,81.36.191.112,1
4,65.49.20.69,0
4,5.150.249.254,1
4,47.89.219.85,0
4,2.57.122.149,0
4,209.141.54.239,0
4,205.185.115.144,0
4,203.217.56.33,1
4,172.105.201.117,0
4,165.22.17.137,1
4,141.98.80.69,0
4,138.197.163.2,0
4,134.209.246.87,0
4,104.248.30.146,1
3,65.49.20.68,0
3,39.53.82.132,1
3,219.79.85.239,1
3,205.166.231.208,0
3,172.104.242.173,0
3,167.99.182.225,0
3,162.142.125.40,0
3,159.65.125.138,0
3,158.101.108.255,0
3,146.196.106.116,0
2,93.174.95.106,0
2,87.241.1.186,1
2,86.123.68.250,1
2,84.232.137.115,1
2,84.102.208.9,0
2,81.21.83.218,1
2,80.82.77.240,0
